text,labels,split
Parents have the right to know if their child is having an abortion .,['PARENTAL CONSENT'],train
"Today , minors , with the assistance of adults who are not their parents , are being transported across State lines to receive abortions without obtaining parental consent .",['PARENTAL CONSENT'],train
"Mandatory parental involvement laws are simply anti-abortion laws targeted at teens , obstructing exercise of the abortion right .",['PARENTAL CONSENT'],train
"Such laws are bad for several reasons ; they cause girls to delay seeking medical care ; and they do not exempt girls wit h abusive , ill , absent or anti-abortion parents .",['PARENTAL CONSENT'],train
"The citizens ' initiative tabled in parliament by the Stop Abortion coalition would also make women who have terminations liable to prison terms , though judges could waive punishment .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"You may want to concede the point that , even after limitations are established in the states , there will always be abortionists willing to break the law and exploit vulnerable women for financial gain .",['ABORTION INDUSTRY'],train
The right to abortion is critical to gender equality .,"[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"No matter what you believe about the ethics of abortion , there is no denying the fact that abortion has become the driving force in eliminating females around the globe .","[""BODILY AUTONOMY/WOMEN'S RIGHTS"", 'MORAL/ETHICAL VALUES']",train
"In countries where abortion has been legal for years , there is no evidence that respect for life has diminished or that legal abortion leads to killing of any persons .","['MORAL/ETHICAL VALUES', 'FETAL/NEWBORN RIGHTS']",train
"We live in a world where “ post-birth abortion ” , the murder of newborns , is gaining popularity .",['FETAL/NEWBORN RIGHTS'],train
Abortion is a lucrative business .,['ABORTION INDUSTRY'],train
abortion has become a multimillion dollar industry .,['ABORTION INDUSTRY'],train
Doctors make large profits from legal abortion .,['ABORTION INDUSTRY'],train
"Taken together , they reveal abortion to be a grisly business that is built on deception , plagued by cover-ups , populated by unethical characters , and largely driven by greed .","['ABORTION INDUSTRY', 'MORAL/ETHICAL VALUES']",train
"While neither of these measures remove the scourge of abortion entirely , they continue shine the light on the atrocity and move us closer to doing so . """,['OTHER'],train
It ’s absolutely disgusting that you compared the genocide of these people to make abortion unjustifiable .,['FETAL/NEWBORN RIGHTS'],train
Abortion is condemnable for the same reasons that slavery and genocide are .,['FETAL/NEWBORN RIGHTS'],train
There is simply no way to accurately comprehend the barbarity of abortion without being exposed to the photographic evidence which so clearly demonstrates that abortion is a brutal act of violence .,['FETAL/NEWBORN RIGHTS'],train
"The Bible , despite interpretations to the contrary , contains no explicit condemnation of abortion , and does not portray the killing of a fetus as equivalent to the killing of a human being .","['MORAL/ETHICAL VALUES', 'FETAL/NEWBORN RIGHTS']",train
"The BBC states that "" Traditional Buddhism rejects abortion because it involves the deliberate destroying of a life .","['MORAL/ETHICAL VALUES', 'FETAL/NEWBORN RIGHTS']",train
""" Abortion is a reflection that we have not met the needs of women . ""","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"“ Abortion betrays the basic feminist principles of nonviolence , non discrimination and justice for all ” ( Foster 1 ) .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
The author of the original Equal Rights Amendment called abortion “ the ultimate exploitation of women . ”,"[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
The Equal Rights Amendment ( ERA ) will be used as a legal basis for abortion and government funding of abortion under the “ equal protection of the law ” concept .,"['FUNDING OF ABORTION', ""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
One commonly cited objection to building an equality framework for abortion rights under the Court ’s existing equal protection jurisprudence is the Court ’s 1974 decision in Geduldig v . Aiello .,"[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"Additionally , a growing num­ber of justices have asserted equality arguments for the abortion right inde­pendently based on the Equal Protection Clause .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
Adding claims on the Equal Protection Clause to the due process basis for abortion rights can strengthen the case for those rights in constitutional politics as well as constitutional law .,"[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"1 But in the four decades since Roe , the U.S. Supreme Court has come to recognize the abortion right as an equality right as well as a liberty right .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"Roe v . Wade , the Supreme Court case that declared abortion a constitutional right , was decided in January 1973 .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"In Roe v . Wade , the Court decided that unborn babies were not legal persons .",['FETAL/NEWBORN RIGHTS'],train
""" The Supreme Court overreached in Roe v . Wade when it excluded unborn children from the class of "" persons .",['FETAL/NEWBORN RIGHTS'],train
"The landmark decision Roe v Wade relied on the 14th Amendment , which guarantees that federal rights shall be applied equally to all persons born in the United States .",['FETAL/NEWBORN RIGHTS'],train
"In Roe v Wade , the Court decided that the state has an "" important and legitimate interest in protecting the potentiality of human life "" from the point of viability on , but that prior to viability , the woman ' s fundamental rights are more compelling than that of the state .","[""BODILY AUTONOMY/WOMEN'S RIGHTS"", 'FETAL/NEWBORN RIGHTS']",train
""" CNN senior legal analyst Jeffrey Toobin , JD , stated that Roe v . Wade was "" a landmark of what is , in the truest sense , women ’s liberation .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"Source : CBS News , "" Transcript of the 2015 GOP Debate ( 9pm ) , Aug. 7 , 2015 [ Editor ' s Note : In addition to the above Con statement , Marco Rubio also made the following CON statement on his campaign website page "" Protecting Life at Every Stage , "" available at marcorubio.com : "" I believe that Roe v . Wade was not only morally wrong , but it was a poorly decided legal precedent and should be overturned .","['MORAL/ETHICAL VALUES', 'FETAL/NEWBORN RIGHTS']",train
The Centers for Disease Control and Prevention have received reports of the deaths of 439 women from induced abortion since Roe v . Wade ; the latest year reported is 2006 .,['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
"In fact , hundreds of women have died from abortion since Roe v . Wade according to the Centers for Disease Control and Prevention , and this is likely only a fraction of the actual number in light of the fact that several states ( including , significantly , California ) have failed to report abortion data for many years and in light of the latitude given to doctors in reporting causes of death ( e.g. , "" hemorrhage "" rather than "" induced abortion . "" )",['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
"My conclusion is that Roe v . Wade must be overturned , and my fundamental reason for this is not only because of what abortion is but because we all know what abortion is .",['OTHER'],train
"In any case , in actual fact , British and American law never did treat abortion as murder , and even if Roe v . Wade is overturned , it is unlikely that any state will .",['FETAL/NEWBORN RIGHTS'],train
"Forty-two years after the Roe v . Wade decision legalizing abortion , many within the pro-life movement focus on the undeniable humanity of each unborn child , clearly visible through the millions of sonograms obtained by proud parents each year .",['FETAL/NEWBORN RIGHTS'],train
"Once we accepted the federalization of abortion law under the 1973 Roe v . Wade decision , we lost the ability to apply local community standards to ethical issues .",['MORAL/ETHICAL VALUES'],train
"We stand in solidarity with women who have been betrayed by those they count on the most , with women who have underestimated their own strength , with women who have experienced abortion and are silent no more , with young men and women who mourn their missing siblings .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
We mourn with men who were n’t given a choice or who contributed to an abortion that they now regret .,['PSYCHOLOGICAL EFFECTS OF ABORTION'],train
Only 46 percent said they favored making abortions more difficult .,['OTHER'],train
We do not fear abortion supporters as they are weak and there are few of them .,['OTHER'],train
"Also , if you believe abortion is wrong , stick with your gut .",['OTHER'],train
"That being said , if you are considering an abortion , think about the life that you are ending .",['FETAL/NEWBORN RIGHTS'],train
Abortion is not the answer — no matter what anyone is telling you .,['OTHER'],train
"In Case 2 , where the fetus is a person and you do n't know that , abortion is manslaughter .",['FETAL/NEWBORN RIGHTS'],train
"In Case 1 , where the fetus is a person and you know that , abortion is murder .",['FETAL/NEWBORN RIGHTS'],train
"Only in Case 4 is abortion a reasonable , permissible , and responsible choice .",['OTHER'],train
"The choice — the only actual choice , in the world as it really is — is between safe , legal abortion and dangerous , illegal abortion .","['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION', 'ILLEGAL ABORTIONS']",train
Some pro-choice advocates argue that it should be illegal for governments to regulate abortion any more than other medical practices .,['OTHER'],train
"Whether or not you think abortion should be allowed , it can not be disputed that a doctor is harming a living organism .",['FETAL/NEWBORN RIGHTS'],train
"As Doctor C. Everett Koop , the pediatrician and former Surgeon General has pointed out , the majority of partial birth abortions are not required by medical emergency .",['HEALTH EFFECTS OF PREGNANCY/CHILDBIRTH'],train
"Others caution against unnecessary use of fetal anesthetic during abortion , as it poses potential health risks to the pregnant woman .",['FETAL/NEWBORN RIGHTS'],train
"In a 1997 letter to the British Medical Journal , April 1997 , she noted that the majority of surgical abortions in Britain were performed under general anesthesia which affects the fetus , and considers the discussion "" to be unhelpful to women and to the scientific debate . """,['FETAL/NEWBORN RIGHTS'],train
"However , legislation was proposed by anti-abortion advocates that would require abortion providers to tell a woman that the fetus may feel pain during an abortion procedure .",['FETAL/NEWBORN RIGHTS'],train
"If you become a person when you can feel pain , then it makes sense to oppose abortion after a fetus can feel pain .",['FETAL/NEWBORN RIGHTS'],train
""" Fetuses are incapable of feeling pain when most abortions are performed .",['FETAL/NEWBORN RIGHTS'],train
Significant pain is often involved in the abortion procedure .,['OTHER'],train
"Pain is relative , but many women do find abortion to be physically painful .",['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
"Whether or not abortion is painful for the child being aborted , the end result is the same .",['FETAL/NEWBORN RIGHTS'],train
"With the central nervous system already developed , the baby is capable to feeling intense pain when it is killed in abortion .",['FETAL/NEWBORN RIGHTS'],train
"Neuroscientists argue that because a cortex is critical for feeling pain , and the cortex is not yet functional when most abortions are performed , the fetus does not feel any pain .",['FETAL/NEWBORN RIGHTS'],train
"In talking about the question of fetal pain , we must remember that it ultimately has no bearing on the morality of abortion .","['MORAL/ETHICAL VALUES', 'FETAL/NEWBORN RIGHTS']",train
"Despite its complete lack of veracity , this myth remains a powerful one , and in several US states legislation dictates that doctors can be fined for not warning women that the foetus might experience pain , despite the scientific advice suggesting “ proposals to inform women seeking abortions of the potential for pain in foetuses are not supported by evidence .",['FETAL/NEWBORN RIGHTS'],train
""" According to Kanwaljeet J . S. Anand , MBBS , DPhil , Professor of Pediatrics , Anesthesiology and Neurobiology at the University of Tennessee Health Science Center , "" If the fetus is beyond 20 weeks of gestation , I would assume that there will be pain caused to the fetus .",['FETAL/NEWBORN RIGHTS'],train
Page 20 of the report definitively states that the fetus can not feel pain prior to week 24 .,['FETAL/NEWBORN RIGHTS'],train
A 2005 multidisciplinary systematic review in JAMA in the area of fetal development found that a fetus is unlikely to feel pain until after the sixth month of pregnancy .,['FETAL/NEWBORN RIGHTS'],train
"Other researchers such as Anand and Fisk have challenged the idea that pain can not be felt before 26 weeks , positing instead that pain can be felt at around 20 weeks .",['FETAL/NEWBORN RIGHTS'],train
"This is reflected in the Royal College of Obstetricians and Gynaecologists ’s report on foetal pain , which concludes “ ... existing data suggests that cortical processing and therefore foetal perception of pain can not occur before 24 weeks of gestation ” .",['FETAL/NEWBORN RIGHTS'],train
As soon as you start to cut up that baby he feels the most ultimate pain that he will ever experience .,['FETAL/NEWBORN RIGHTS'],train
"Not only has the biological development not yet occurred to support pain experience , but the environment after birth , so necessary to the development of pain experience , is also yet to occur .",['FETAL/NEWBORN RIGHTS'],train
A foetus in the early stages of development lacks the developed nervous system and brain to feel pain or even be aware of their surroundings .,['FETAL/NEWBORN RIGHTS'],train
"It is not necessary to be able to draw a sharp line to conclude that an embryo that has not developed a brain or nervous system is not a person , but a 24-week fetus that would survive if born is a person .",['FETAL/NEWBORN RIGHTS'],train
"Since I ’m of the notion that “ I think , therefore I am , ” I feel there ’s a serious case to be made that fetuses with intermittent or sustained cortical function ( at 20 or 22 weeks ’ gestation , 2-4 weeks prior to the current general bar for viability ) are in fact “ people . ”",['FETAL/NEWBORN RIGHTS'],train
Just think about how do you truly know that s it s not alive yet because it s a fetus ?,['FETAL/NEWBORN RIGHTS'],train
"In Case 3 , the fetus is n't a person , but you do n't know that .",['FETAL/NEWBORN RIGHTS'],train
"But note : What makes Case 4 permissible is not merely the fact that the fetus is not a person but also your knowledge that it is not , your overcoming of skepticism .",['FETAL/NEWBORN RIGHTS'],train
"Finally , the argument admits that the fetus is a person who , by the argument ’s own logic , has a right to bodily autonomy .",['FETAL/NEWBORN RIGHTS'],train
"For example , it is argued that the fetus is the woman ' s child as opposed to a mere stranger ; that abortion kills the fetus rather than merely letting it die ; and that in the case of pregnancy arising from voluntary intercourse , the woman has either tacitly consented to the fetus using her body , or has a duty to allow it to use her body since she herself is responsible for its need to use her body .",['FETAL/NEWBORN RIGHTS'],train
Abandoning this infant to die would simply never be tolerated .,['FETAL/NEWBORN RIGHTS'],train
It is immoral to kill an unborn child for convenience .,['FETAL/NEWBORN RIGHTS'],train
"However , there is no moral difference between killing unborn babies in the first trimester and newborn babies .",['FETAL/NEWBORN RIGHTS'],train
Unborn babies are considered human beings by the US government .,['FETAL/NEWBORN RIGHTS'],train
"Scientifically , we know that from the earliest stages of development , the unborn are distinct , living , and whole human beings .",['FETAL/NEWBORN RIGHTS'],train
Notice the number of statements about the belief that the unborn is not a human person : zero .,['FETAL/NEWBORN RIGHTS'],train
This bill would extend the Constitutional protection of life to the unborn from the time of conception .,['FETAL/NEWBORN RIGHTS'],train
It removes the jurisdiction from the federal courts which allows the states to pass protection to the unborn .,['FETAL/NEWBORN RIGHTS'],train
It removes reproductive freedom and defies both common sense and humane public policy .,"[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"If your candidate focuses on restrictive laws , you will drive women underground , which will increase their financial hardship and many will risk their health and lives , but you will not reduce abortions .",['ILLEGAL ABORTIONS'],train
"This would , of course , require overturning the many , many laws passed in recent years by the GOP at the state-level aimed at doing the precise opposite , and may even require overturning the Hyde Amendment , which bars federal funding for abortion , thus preventing poor women from receiving elective abortions except in cases of rape , incest , and their lives .","['FUNDING OF ABORTION', 'HEALTH EFFECTS OF PREGNANCY/CHILDBIRTH', 'RAPE']",train
"Ironically , restrictive laws pushed by Right to Lifers , such as mandatory parental involvement and cutoff of Medicaid for poor women ’s abortions , cause delay and lead to increased numbers of late abortions .",['FUNDING OF ABORTION'],train
"The growth of local legislation to make abortion ever harder to obtain , particularly for poorer women — and particularly for poorer women in the South — continues , with its special dose of sanctimonious cruelty , forcing women to listen to long lectures on the lives they are supposedly carrying and killing , and forcing unwilling doctors to deliver them .","[""BODILY AUTONOMY/WOMEN'S RIGHTS"", 'FETAL/NEWBORN RIGHTS']",train
"Illegal abortions were big business , as back-alley practitioners were able to extract huge fees from desperate women .",['ILLEGAL ABORTIONS'],train
"CDC researchers have also concluded that today ’s abortion procedures will not adversely affect a woman ’s future reproduction , and have said , “ the reality is that legalized abortion has had a definite impact on the health of American women ( by providing them with a safer way to terminate their pregnancies than by either illegal abortion or childbirth ) . ”","['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION', 'HEALTH EFFECTS OF PREGNANCY/CHILDBIRTH', 'ILLEGAL ABORTIONS']",train
There is no evidence that either medical or modern surgical abortion impacts future fertility .,['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
"In the 21st century , the WHO recommend a suction-based technique for surgical abortion , rendering the risk to future fertility negligible .",['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
Most people have little trouble differentiating abortion from murder and they instinctively choose abortion over infanticide just as they choose contraception over abortion when both are freely available .,"['RESPONSIBILITY', 'FETAL/NEWBORN RIGHTS']",train
"When faced with the reality of an unwanted pregnancy for themselves or their daughters , many Right to Lifers change their views and choose abortion .",['OTHER'],train
"But abortion clinics in Texas , including lead plaintiff Whole Woman ' s Health , argue that the law has no real medical justification and unduly burdens almost a million women in the state who will have to drive hundreds of miles to obtain an abortion now that the law has shut down over three-quarters of the state ' s clinics .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"In Texas , where the abortion laws have become more restrictive and access has dropped more than 100,000 women and possibly up to 240,000 have attempted home or illegal abortions .",['ILLEGAL ABORTIONS'],train
Texas has attempted to justify the law as a way to protect women from the dangers of abortion .,['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
""" They also said the mortality rate of a colonoscopy is more than 40 times greater than that of an abortion .",['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
Sotomayor says colonoscopies have more complications .,['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
"Further , women would once more be forced to break the law to receive medical care , and once more their dignity would be lost in the process .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
Supporters say all the measures would protect women ’s health .,['OTHER'],train
"By failing to freely provide this , society also fails to support their fundamental rights , not as women , but as people .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
Women ’s rights clearly include their right to health and to make fully informed decisions regarding their bodies .,"[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
In line with a woman ’s right to life is also her right to mitigate the risk to her person .,"[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
The bottom line of this argument is that the same thing that protects your right to do as you wish is the same thing that protects a woman ’s natural right to choose what to do with her own body .,"[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"“ My Body , My Choice ” – Women have the right to choose what to do with their body .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"If we want to be able to say that we have no gender biases or gender discrimination , and man and woman have equal rights to pursue the life that they choose to pursue , women must have a choice .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
We should stand beside women in unimaginably difficult circumstances and give them every opportunity to choose life : change the structures that make the world a place where it is difficult for some women to choose life .,"[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
We do need to stand with women and make it easier for them to choose life ; and we need to walk with women whose situations have not been so fortunate .,"[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"Women also want to live in a society that , at the very same time , cherishes our shared , and indeed , wondrous capacity to bear new human life .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
The nature of the life in the woman is human .,['FETAL/NEWBORN RIGHTS'],train
This concept is fundamental for women .,"[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
Women develop an emotional bond with a child when they carry it through the full term and go through the experience of delivery .,['OTHER'],train
"We give her the inhumane ( but for 42 years , constitutionally protected ) right to decide the fate of another human being , of a vulnerable child — her child — to whom she properly owes an affirmative duty of care .","[""BODILY AUTONOMY/WOMEN'S RIGHTS"", 'FETAL/NEWBORN RIGHTS']",train
The right of the unborn to live supersedes any right of a woman to “ control her own body . ”,"[""BODILY AUTONOMY/WOMEN'S RIGHTS"", 'FETAL/NEWBORN RIGHTS']",train
The right to not be killed supersedes the right to not be pregnant .,"[""BODILY AUTONOMY/WOMEN'S RIGHTS"", 'FETAL/NEWBORN RIGHTS']",train
"Our government not only has the right , but the duty to prevent the murder of helpless innocent babies in the womb .",['FETAL/NEWBORN RIGHTS'],train
It is the duty of our government to protect this life as a right guaranteed under the Constitution .,['FETAL/NEWBORN RIGHTS'],train
What I have advocated is that we pass law in this country that says all human life at every stage of its development is worthy of protection .,['FETAL/NEWBORN RIGHTS'],train
"Their argument is not about when life begins but about when , or whether , that life deserves legal acknowledgment and protection .",['FETAL/NEWBORN RIGHTS'],train
So they have to deny the moral principle that leads to the pro-life conclusion .,['MORAL/ETHICAL VALUES'],train
"Perhaps pro-choicers perceive that they have no choice but to do this , for they have no other recourse if they are to argue at all .",['OTHER'],train
Notice how vacuous the pro-choice rhetoric is if they have exceptions .,['OTHER'],train
"Arguing that the government should never restrict "" choice "" is nothing more than an argument for anarchy .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"The right to choose is paramount to our humanity , and it should n’t be denied .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"Even if only a minority believed in freedom of choice , that right should be protected from the tyranny of the majority .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"All conservatives should find it easy to agree that government must uphold every person ’s right to make choices regarding their lives and that every person ’s right to live must be secured before he or she can exercise that right of choice . ""","[""BODILY AUTONOMY/WOMEN'S RIGHTS"", 'FETAL/NEWBORN RIGHTS']",train
"I believe that every single human being is entitled to the protection of our laws , whether they can vote or not .",['FETAL/NEWBORN RIGHTS'],train
In principle I do n't think anyone can seriously argue that the law should be allowed to compel anyone to cede their rights in this matter .,['OTHER'],train
"If the court makes a ruling , they make a ruling , but I think there are absolutely legitimate and constitutional restrictions that can be put on it .",['OTHER'],train
"Despite the disappointing decision on the law ’s constitutionality , there is no question that the law remains terrible policy .",['OTHER'],train
"But 40 years after Roe , most of us still do n’t think that ruling should be overturned .",['OTHER'],train
"An exploding population , legalize abortion .",['CONSEQUENCES OF CHILDBIRTH'],train
Abortion is killing on a genocidal scale .,['FETAL/NEWBORN RIGHTS'],train
"That is a direct abortion and an intrinsic evil , and we may never do evil so that good may result .",['MORAL/ETHICAL VALUES'],train
In this case we may never do evil ( directly attack and kill a child via abortion ) so that good ( saving the life of the mother ) may result .,['FETAL/NEWBORN RIGHTS'],train
"If abortion is really morally equivalent to murder , why should not those morally responsible be punished as murderers ?",['FETAL/NEWBORN RIGHTS'],train
There is no excuse for an abortion .,['OTHER'],train
The Institute of Medicine of the National Academy of Sciences has concluded that abortion is not associated with a detectable increase in the incidence of mental illness .,['PSYCHOLOGICAL EFFECTS OF ABORTION'],train
"This finding is n’t especially surprising , as previous investigations found that provided a woman was not already depressive then “ elective abortion of an unintended pregnancy does not pose a risk to mental health ” .",['PSYCHOLOGICAL EFFECTS OF ABORTION'],train
"In other disappointing news for Pro-lifers , women who have abortions do n’t suffer increased rates of anxiety and depression .",['PSYCHOLOGICAL EFFECTS OF ABORTION'],train
The hypothesis that women who undergo an abortion have worse mental health outcomes than those that do n’t is at heart a scientific claim and can be tested as such .,['PSYCHOLOGICAL EFFECTS OF ABORTION'],train
"But despite the science simply not supporting the assertions of the anti-abortion brigade , the myth persists .",['OTHER'],train
"Although the Catholic and Lutheran churches oppose abortion , more of their members believe abortion should be legal in all or most cases versus illegal in all or most cases ( 51 % vs. 45 % , Lutheran ; 48 % vs. 45 % , Catholic ) .",['MORAL/ETHICAL VALUES'],train
"It ' s a mistake to assume that because so many aborting women in America identify themselves as Protestant or Catholic , that the Bible is ambivalent towards abortion .",['MORAL/ETHICAL VALUES'],train
One of the most common reasons why some women want to have an abortion is because they have the desire to delay childbearing because they themselves are young .,"[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"That is , few abortions are had because a woman has been a victim of rape or incest or because a pregnancy would endanger her life , or because she expects to have a handicapped or deformed newborn rather , most abortions are had because men and women who do not want to have a baby are having sexual intercourse and facing pregnancies they did not plan for and did not want .","['FETAL DEFECTS/DISABILITIES', 'HEALTH EFFECTS OF PREGNANCY/CHILDBIRTH', 'RAPE']",train
You must visit this site and read their stories to know the real impact of abortion on women ; commit parts of them to memory .,['OTHER'],train
But pro-life feminists believe this turns feminism on its head because it says women do n't have an inherent right to participate in society but one conditioned on surgery and sacrificing their children .,"[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"Secondly , as Live Action News has previously reported , there is substantial evidence to demonstrate that pro-life laws protect women ’s health .",['SAFETY/HEALTH EFFECTS OF LEGAL ABORTION'],train
"The pro-life side is aware of this , which is why a substantial amount of propaganda focuses on the method of late term Dilation and Evacuation procedures and attempts to conflate it with earlier term abortions , to pair a false equivalence with emotional appeal .",['OTHER'],train
"This seems to be the tactic used by the pro death crowd , particularly in these "" reasons "" for abortion .",['FETAL/NEWBORN RIGHTS'],train
"Because to them , abortion is mass slaughter .",['FETAL/NEWBORN RIGHTS'],train
"If a group believes that abortion is murder , then that group ought to advocate that abortion be treated as murder .",['FETAL/NEWBORN RIGHTS'],train
"Is this murder , and if not , then how is abortion murder ?",['FETAL/NEWBORN RIGHTS'],train
There is no intentional killing of a human being in such a case .,['FETAL/NEWBORN RIGHTS'],train
"The killing of an innocent human being is wrong , even if that human being has yet to be born .",['FETAL/NEWBORN RIGHTS'],train
Fetuses aborted later in pregnancy and born alive are left to die or are killed by doctors .,['FETAL/NEWBORN RIGHTS'],train
"Until then , millions of us will be guided by our own moral values and life goals to end pregnancies we believe are ill-conceived , so that we can devote our lives to the people and dreams that we hold most dear .",['MORAL/ETHICAL VALUES'],train
"When a pregnancy seriously threatens the life of the mother , you have to balance the uncertainty of not being sure when personhood of the unborn begins with the absolute certainty ( under usual conditions ) that the mother whose life is in danger is a person .","['HEALTH EFFECTS OF PREGNANCY/CHILDBIRTH', 'FETAL/NEWBORN RIGHTS']",train
"If the pregnancy is the result of carelessness on the mother ’s part ( i.e. , she did not take the proper precautionary measures to effectively prevent an unintended pregnancy ) , she should have to deal with the consequences .",['RESPONSIBILITY'],train
Women can get immediate medical treatment to prevent pregnancy .,['RESPONSIBILITY'],train
"There are dozens of birth control methods that can keep you from becoming pregnant , including the 100 percent effective one : abstinence .","['RESPONSIBILITY', 'MORAL/ETHICAL VALUES']",train
Just maybe a woman has become pregnant despite all birth control attempts because the child is destined to do something great .,"['RESPONSIBILITY', 'CONSEQUENCES OF CHILDBIRTH']",train
Pregnancy can occur even with responsible contraceptive use .,['RESPONSIBILITY'],train
"For women who demand complete control of their body , control should include preventing the risk of unwanted pregnancy through the responsible use of contraception or , if that is not possible , through abstinence .","['RESPONSIBILITY', ""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"If you are going to legally prohibit a woman from aborting on the theory that an unborn child has rights , what are you going to do to guarantee the rights of the unborn to develop in a safe and healthy environment ?",['FETAL/NEWBORN RIGHTS'],train
"Instead of having the option to abort , women should give their unwanted babies to people who can not conceive .",['ADOPTION'],train
To deny a woman the option to abort a pregnancy when her own life is at risk is akin to forcing her to play Russian roulette .,['HEALTH EFFECTS OF PREGNANCY/CHILDBIRTH'],train
"Regardless of the situation , of those 49 % of pregnancies that are unintended , the percentage that is unwanted will be looking for ways to terminate the pregnancy .",['OTHER'],train
"The Colorado Department of Public Health and Environment stated that unintended pregnancies are associated with birth defects , low birth weight , maternal depression , increased risk of child abuse , lower educational attainment , delayed entry into prenatal care , a high risk of physical violence during pregnancy , and reduced rates of breastfeeding .","['CONSEQUENCES OF CHILDBIRTH', 'FETAL DEFECTS/DISABILITIES', 'HEALTH EFFECTS OF PREGNANCY/CHILDBIRTH']",train
"Most pregnancies are unplanned because of issues with access to highly reliable contraception , but some will be rape and some will be health of the mother , i.e. , women who had n't planned on getting pregnant and are happy they are pregnant , but their health is deteriorating .","['RESPONSIBILITY', 'HEALTH EFFECTS OF PREGNANCY/CHILDBIRTH', 'RAPE']",train
Young women in their teens are right to be concerned that they ' re not ready to effectively raise a child .,['CONSEQUENCES OF CHILDBIRTH'],train
Teenagers who become mothers have grim prospects for the future .,"[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
Kids who are born into families that ca n’t afford to raise them right end up in the wrong path in life and go through very hard things .,['CONSEQUENCES OF CHILDBIRTH'],train
Think about people who ca n't have kids !! !,['ADOPTION'],train
Just because the babies ca n't speak for themselves does n't mean they have no rights .,['FETAL/NEWBORN RIGHTS'],train
"Abortion , she insists , is a right integral to women ’s own autonomy , not a privilege to be used as infrequently as possible .","[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
All society wants to do is make it difficult for her to find someone to perform the abortion .,"[""BODILY AUTONOMY/WOMEN'S RIGHTS""]",train
"She did n't plan on being pregnant and would not choose an abortion , except her pregnancy is killing her and unless the pregnancy ends she will die leaving her 5-month-old motherless .",['HEALTH EFFECTS OF PREGNANCY/CHILDBIRTH'],train
"It has also been reported that the mothers of entertainers Celine Dion , Cher , and Justin Bieber were either advised to have abortions or were considering the procedure , but chose to give birth to their babies instead .",['CONSEQUENCES OF CHILDBIRTH'],train
Abortions reduce the number of adoptable babies .,['ADOPTION'],train
There is a lack of adoptable babies because of abortion being legal .,['ADOPTION'],train
Adoption is a viable alternative to abortion and accomplishes the same result .,['ADOPTION'],train
"Adoption is not an alternative to abortion , because it remains the woman ' s choice whether or not to give her child up for adoption .","[""BODILY AUTONOMY/WOMEN'S RIGHTS"", 'ADOPTION']",train
Adoptions is always an option !,['ADOPTION'],train
