sentence,labels
"Thus , as concerns about climate change have grown , Congress and the states have adopted subsidies and tax credits to expand electricity production from low-carbon and carbon-free renewable fuels in an effort to reduce greenhouse gas emissions .",['RENEWABLES']
"It does n't release greenhouse gases , like fossil fuels do , which is great for the environment .","['ENVIRONMENTAL_IMPACT', 'FOSSIL_FUELS']"
"Well , considering neither proper regulation nor oversight is a reality , I suppose that means nuclear power is not viable .",['OTHER']
"To some , nuclear energy is the savior for our growing energy needs - clean , affordable , limitless , safe and most importantly the major answer to our dwindling supply of fossil fuels ( 1 ) .","['FOSSIL_FUELS', 'ACCIDENTS/SECURITY', 'ENVIRONMENTAL_IMPACT', 'COSTS', 'RELIABILITY']"
Currently nuclear energy saves the emission of 2.5 billion tonnes of CO2 relative to coal .,"['ENVIRONMENTAL_IMPACT', 'FOSSIL_FUELS']"
"Finally , the costs of land-based wind , geothermal and hydroelectricity are competitive with conventional new sources of electricity ; costs of solar and wind over the ocean are higher but declining .",['RENEWABLES']
"So nuclear power , which can only generate electricity , is almost irrelevant .",['OTHER']
But I keep hearing them touted as a clean energy source that will do great things for the planet .,['ENVIRONMENTAL_IMPACT']
"July 2005 : "" An outstanding advantage of nuclear over fossil fuel energy is how easy it is to deal with the waste it produces .","['WASTE', 'FOSSIL_FUELS']"
"If we want to stop using fossil fuels it will likely contain a nuclear component , along with wind and solar .","['FOSSIL_FUELS', 'RENEWABLES']"
"Even when the entire life cycle is taken into account , however , nuclear energy warms the planet much less than coal or natural gas .","['ENVIRONMENTAL_IMPACT', 'FOSSIL_FUELS']"
"In fact , quite the opposite — we ’re consuming energy at ever-increasing rates as our technology becomes more sophisticated and our civilization becomes increasingly more dependent on this technology .",['RELIABILITY']
"Actually , the best form of nuclear power may be Liquid Flouride Thorium Reactors ( LFTR ’s ) which can dramatically lower the risks of nuclear power , and which are much more efficient in using a Thorium / Uranium233 fuel cycle to produce energy ( compared to use of a fuel cycle based on Uranium235 / Plutonium , as found in existing nuclear plants ) .",['TECHNOLOGICAL_INNOVATION']
"That being said , nuclear energy is definitely a type of renewable energy that we need to look at .",['RENEWABLES']
Nuclear Energy is the Most Certain Source .,['RELIABILITY']
"Coal and natural gas power plants emit carbon dioxide into the atmosphere , which contributes to climate change .",['FOSSIL_FUELS']
It does not emit greenhouse gases and the waste can be disposed of easily .,"['ENVIRONMENTAL_IMPACT', 'WASTE']"
"This makes nuclear energy , as a clean alternative to coal , unnecessary .","['ENVIRONMENTAL_IMPACT', 'FOSSIL_FUELS']"
A number of nuclear energy innovations have made it a much more feasible choice than others .,['TECHNOLOGICAL_INNOVATION']
"Finally , and most importantly to the stringent Clean Air Acts and their equivalents in the countries actively looking to reduce pollution and greenhouse gas emissions , nuclear power represents the power source with the lowest pollution levels .",['ENVIRONMENTAL_IMPACT']
"If we reduced safety standards to those applied to wind and PV , a nuclear power plant could easily be build in the same time needed to build a conventional coal or gas plant .","['FOSSIL_FUELS', 'RENEWABLES', 'ACCIDENTS/SECURITY', 'COSTS']"
"On the other hand , by using breeder and fusion reactors , we can produce other fissionable element .",['TECHNOLOGICAL_INNOVATION']
Nuclear power is one component of this system .,['OTHER']
They all ( most ) show how there is big money in Renewables .,['RENEWABLES']
Costs of nuclear have historically been underestimated .,['COSTS']
"Also , unlike wind and solar power , nuclear power can provide a continuous flow of energy that utilities can depend on any time of day .","['RENEWABLES', 'RELIABILITY']"
"The Nuclear Regulatory Commission ( NRC ) approved construction of four new reactors in 2012 , which are expected to go online in 2020 .",['OTHER']
"Nuclear energy is one of the most viable alternatives to oil , particularly because it is capable of supplying such massive amounts of energy .","['FOSSIL_FUELS', 'RELIABILITY']"
"April 16th , 2006 : "" Wind and solar power have their place , but because they are intermittent and unpredictable they simply ca n't replace big baseload plants such as coal , nuclear and hydroelectric .","['FOSSIL_FUELS', 'RENEWABLES']"
It does not release green house gases or use fossil fuels .,['ENVIRONMENTAL_IMPACT']
"In fact , we could be producing 100 % of our energy from renewables by 2050 , and the technology is already ready for market – particularly if the subsidies for fossil fuels and nuclear are cut .","['ENERGY_POLICY', 'FOSSIL_FUELS', 'RENEWABLES']"
"Ultimately , we are looking to renewable energy and nuclear power is not renewable - the fuel will run out eventually , just like gas and oil .","['FOSSIL_FUELS', 'RENEWABLES', 'RELIABILITY']"
"Firstly , nuclear energy does not produce green house gas and that means that our atmosphere will be safe and more efficient .",['ENVIRONMENTAL_IMPACT']
It does n't release greenhouse gases which would help us stop global warming .,['ENVIRONMENTAL_IMPACT']
"The World Economic Council , for instance , predicts that world energy consumption will increase from 546 exajoules ( EJ — 1018 joules ) ( 2010 levels ) to anywhere from 700 to 900 EJ by 2050 , depending on the level of world economic cooperation and concerted action in the future .",['RELIABILITY']
"In 2004 , the average cost of producing nuclear energy in the United States was less than two cents per kilowatt-hour , comparable with coal and hydroelectric .","['FOSSIL_FUELS', 'COSTS']"
"And even if the US builds 1 / 4 of the renewables needed to achieve his dream , the rebates , taxes your local taxes , the cost of electricity is going to bankrupt the USA .",['RENEWABLES']
"Yes , Mr. Doron is right that our aging nuclear plants have to be shut down , but he is wrong to suggest that we can afford to build new ones or that solar energy is not ready to take over .",['RENEWABLES']
"But what is good and reaffirming , is that we are now finally entering the nuclear age .",['OTHER']
"The latest generation of nuclear reactors have improved capacities and generating capabilities , but with comparable emissions .","['TECHNOLOGICAL_INNOVATION', 'ENVIRONMENTAL_IMPACT']"
Greater use of nuclear power is central to their recommendations .,['OTHER']
Firstly it would use up green house gas and would make more pollution in the world .,['ENVIRONMENTAL_IMPACT']
"[ And , why would nuclear energy be expanding internationally if it was n't inherently economical ? ]",['COSTS']
Even the much heralded solar energy has the potential to be incorporated into these structures if it develops in certain ways .,['RENEWABLES']
"According to this twisted logic , environmental benefits from new nuclear power plants do receive proper credit under the Obama administration ’s Clean Power Plan .",['ENVIRONMENTAL_IMPACT']
"They could entirely replace the world ' s fossil fuel-based energy system by 2050 , if governments will it to be so , he said .",['FOSSIL_FUELS']
"And the next generation of nuclear reactors will be even cheaper , safer , and more environmentally benign .","['TECHNOLOGICAL_INNOVATION', 'ENVIRONMENTAL_IMPACT', 'COSTS', 'ACCIDENTS/SECURITY']"
It ' s an exciting notion to me that we have zero carbon emission from nuclear and the new ... electrical generation facilities are a one refuel for fifty years of life .,"['ENVIRONMENTAL_IMPACT', 'TECHNOLOGICAL_INNOVATION']"
"These fears are unjustified and nuclear energy from its start in 1952 has proved to be the safest of all energy sources . """,['ACCIDENTS/SECURITY']
"Waste heat from nuclear reactors can be used "" How nuclear power could fertilise fields . """,['OTHER']
"[ ... ] On 18 September , the DOE announced that its Next Generation Nuclear Plant project will receive a $ 40 million boost in funding .","['ENERGY_POLICY', 'TECHNOLOGICAL_INNOVATION']"
The construction of a nuclear power plant requires much less investment than a hydroelectric one .,"['COSTS', 'RENEWABLES']"
"Unlike coal and oil , these renewable forms of energy are freely available , do n’t pollute the environment with waste ( radioactive or otherwise ) , do n’t need to be fought over , do n’t contribute to global warming , and do n’t require massive amounts of farmland , energy , and water as do biofuels .","['ENVIRONMENTAL_IMPACT', 'WASTE', 'FOSSIL_FUELS', 'RENEWABLES']"
"Last week , more than 200 United Nations researchers threw their weight behind atomic energy , calling for a tripling of output within the coming years as a means to combat carbon emissions .",['ENVIRONMENTAL_IMPACT']
"If the money pumped into nuclear had been spent on renewables , then the pay-off would have been much greater per-euro invested .",['RENEWABLES']
"Commercial nuclear energy is already the cheapest , safest and environmentally benign carbon neutral source of energy on Earth .",['COSTS']
Enough wind and solar exist in high-wind and sunny locations over land to power the world for all purposes multiple times over .,['RENEWABLES']
Wind farms take only 18 months to come online ; nuclear plants typically take in excess of 10 years .,"['RENEWABLES', 'COSTS']"
The move comes against the backdrop of nuclear innovations that seek to address safety and cost issues that have hampered the sector .,['ACCIDENTS/SECURITY']
"Carbon emissions are among the chief cause of global climate change , according to the Environmental Protection Agency and a broad consensus of climate scientists .",['OTHER']
It is the most efficient use of the Earth ' s resources .,['RELIABILITY']
It also does n't have green house gases .,['ENVIRONMENTAL_IMPACT']
"If Europe really wants a nuclear-free world , then it has to commit to abandoning nuclear technology completely .",['OTHER']
: Nuclear energy is not renewable resource .,['RELIABILITY']
"Instead , it should feature conservation , more efficient products , and safe renewable forms of energy such as wind , solar , and geothermal power to protect public health . ”",['RENEWABLES']
"A typical nuclear power plant generates about 1,000 megawatts with capacity factors over 90 percent .",['OTHER']
"Halt any investment in fossil fuel infrastructure , including natural gas , and phase out all fossil fuel power plants .",['FOSSIL_FUELS']
And that even though Hydro and biomass energy destroys the most nature of all .,"['ENVIRONMENTAL_IMPACT', 'RENEWABLES']"
"September 12 , 2007 : "" Here ' s the reality : The U.S. needs more energy , and we need to get it without further harming our environment .","['ENVIRONMENTAL_IMPACT', 'RELIABILITY']"
"The last to close , in 2013 , ran with much reduced emissions , well under 1 % of total US CFC emissions .",['ENVIRONMENTAL_IMPACT']
It costs as much as a nuclear power plant and makes 1 / 10 of the usable power ( allowing for capacity factor ) .,['OTHER']
"The main argument for not including existing nuclear power plants – as well as electricity from large hydropower dams – in clean air mandates and subsidies is that contributions from these conventional sources would dwarf new renewable generation , which the federal government wishes to encourage .","['ENERGY_POLICY', 'RENEWABLES']"
"End all subsidies for fossil fuels and impose a greenhouse gas fee / tax to charge polluters for the damage they have created . """,['FOSSIL_FUELS']
"Similarly , wind power generates no waste and can sustain our planet for millenia to come .",['RENEWABLES']
"In contrast , measures such as bicycle transport , passive solar design , solar heating , wind power or biogas production lend themselves to local community control .",['RENEWABLES']
Energy inputs to nuclear fuel cycle produce only a few ( eg 1-3 ) percent of the CO2 emissions saved .,['ENVIRONMENTAL_IMPACT']
"“ Nuclear power is not a near-term solution to the challenge of climate change , ” writes Sharon Squassoni in the IAEA bulletin .",['ENVIRONMENTAL_IMPACT']
"Even if it will run out in the future and is not "" renewable "" , is it still worth pursuing now ( particularly in the face of global warming ) ?","['ENVIRONMENTAL_IMPACT', 'RELIABILITY']"
"Nuclear power will be like the sun at the center of the “ energy solar system , ” orbited by satellite technologies like wind and solar — which will support and complement it — but overwhelming every alternative by dint of its sheer gravitational ( or energetic , as the case may be ) influence .",['RENEWABLES']
"Without batteries to store renewable energy over a span of months and not just days , the United States is not likely to achieve 100 percent renewable power in this century and will have to rely on either fossil fuels with carbon capture or nuclear power , Chu said , concluding that "" although nuclear power has a lot of bad things , it is carbon-free . ""","['ENVIRONMENTAL_IMPACT', 'FOSSIL_FUELS', 'RENEWABLES']"
"On the other hand , unlike costly and dangerous nuclear power , renewables are meeting energy needs quickly and without the problem of a deadly waste legacy or risking the diversion of radioactive materials .","['WASTE', 'COSTS', 'RENEWABLES']"
"Furthermore , if we do n’t start using renewable now then we may never make the switch , so this is the chance to take that first step .",['RENEWABLES']
This will help countries reach those targets and move towards a cleaner and more efficient energy future ( 10 ) .,['ENVIRONMENTAL_IMPACT']
"Solar can lower demand spikes by producing the most power on the days when the most power is used ( hot , sunny days when people run the AC ) .",['RENEWABLES']
Replacing coal to limit global warming should not be based on another toxic product .,['FOSSIL_FUELS']
"Not only will nuclear power not fully relieve the need for fossil fuels , it wo n’t relieve it AT ALL for very long .",['FOSSIL_FUELS']
Nuclear power is relatively inexpensive Patrick Moore .,['COSTS']
Nuclear power plants do not produce greenhouse gases as do those powered by coal or natural gas .,"['ENVIRONMENTAL_IMPACT', 'FOSSIL_FUELS']"
"The only legitimate concern that nuclear retirements are premature is that electricity markets do not fully account for the external ' social cost ' of pollution , wrote Devin Hartman , a senior fellow at the institute .",['OTHER']
The nuclear phase-out is as much part of the Energiewende ( energy transition ) as the move towards a low-carbon economy .,['ENVIRONMENTAL_IMPACT']
"As world leaders , you can work together to replace this small amount of energy from other readily available , very safe and affordable sources of energy to move us towards a carbon-free and nuclear-free future . ”",['ENERGY_POLICY']
"Despite more than $ 150 billion in federal subsides over the past 60 years ( roughly 30 times more than solar , wind and other renewable energy sources have received ) , nuclear power still costs substantially more than electricity made from wind , coal , oil or natural gas .","['ENERGY_POLICY', 'RENEWABLES', 'COSTS']"
"Portability and Productivity • Because nuclear power produces an enormous amount of energy using a very small amount of fuel , its average production cost is just 1.87 cents per kilowatt hour .",['COSTS']
It is a clean source of energy and would be cost effective .,"['ENVIRONMENTAL_IMPACT', 'COSTS']"
Renewable energy sources should be used instead .,['RENEWABLES']
"In other words , we have to build more than we need , and other energy sources are needed to provide backup when the wind is not blowing or the sun is not shining .","['RENEWABLES', 'RELIABILITY']"
"But nuclear energy is n't really a zero-carbon system , since you still have to manufacture power plants , mine and enrich uranium , and transport processed fuelâ € ” all of which typically rely on CO2-emitting fuel sources .",['ENVIRONMENTAL_IMPACT']
Nuclear power plants require much less land area than comparable output wind or solar power sites .,"['ENVIRONMENTAL_IMPACT', 'RENEWABLES']"
Doubling the world ' s nuclear output would reduce CO2 emissions from power generation by about one-quarter .,['ENVIRONMENTAL_IMPACT']
"January 8 , 2008 : "" going nuclear would squeeze out renewables .",['RENEWABLES']
He omits entirely the best argument against choosing nuclear energy to address climate change : time .,"['ENVIRONMENTAL_IMPACT', 'COSTS']"
Nuclear power is ready ; let ’s not get caught short .,['OTHER']
"He said the costs of the transformation would be worth the benefits : 22 million net jobs , the costs of global warming , avoiding unstable energy prices and energy security .","['ENVIRONMENTAL_IMPACT', 'COSTS', 'RELIABILITY']"
"Roughly 100 nuclear power plants are now operating in the United States , supplying about one-fifth of the nation ' s electricity .",['OTHER']
Secondly It would not hurt anyone because it stops pollution and the more pollution there is the easier people get sicker and they can even die .,['ENVIRONMENTAL_IMPACT']
It will if a new direction in US research proves a success .,['OTHER']
"January 8 , 2008 : "" nuclear plants threaten our ability to solve climate change .",['ENVIRONMENTAL_IMPACT']
"Retrieved 1.24.08 : "" Nuclear power is not a clean energy source .",['ENVIRONMENTAL_IMPACT']
That ' s because the nuclear fission process produces virtually no greenhouse gas emissionsâ € ” unlike the burning of fossil fuels such as coal and natural gas .,"['ENVIRONMENTAL_IMPACT', 'FOSSIL_FUELS']"
Failure to act could foreclose the nuclear power option in this country and make the road to clean air and energy independence in the future that much harder .,"['ENVIRONMENTAL_IMPACT', 'ENERGY_POLICY']"
"Plus , all this comes with a far lighter fuel requirement .",['OTHER']
Phase out nuclear power and end nuclear subsidies .,['ENERGY_POLICY']
It does n’t rely on fossil fuels and is n’t influenced by fluctuating oil and gas costs .,"['FOSSIL_FUELS', 'COSTS']"
"The only solution is to halt the expansion of all nuclear power , and for the shutdown of existing plants .",['OTHER']
"The best reason to use more nuclear power , and the reason it is proving so popular with 21st century governments keen to save money and reduce reliance on oil ( 14 ) - particularly from countries that have seen political instability in the last few years - is the very low greenhouse gas emissions ( 7 ) .","['ENERGY_POLICY', 'ENVIRONMENTAL_IMPACT', 'FOSSIL_FUELS', 'COSTS']"
"Formal.standard : "" Nuclear energy is uneconomical compared to other sources .",['COSTS']
They have high energy density as compared to fossil fuels .,"['FOSSIL_FUELS', 'RELIABILITY']"
"The United States would do better by following the example of New York , which recently decided to support nuclear power plants to keep them from closing because of competition from cheap natural gas .","['ENERGY_POLICY', 'FOSSIL_FUELS']"
“ The proposal to streamline the licensing process would accelarate the development of nuclear power of it is approved by Congress . ”,['ENERGY_POLICY']
Fossil energy should have been dispatched yesterday .,['OTHER']
"However , each year the particle pollution caused by coal power plants claims about 7,500 lives in the United States .",['FOSSIL_FUELS']
Both wind and solar can each be scaled to meet the energy needs of the entire globe and OTEC as well as geothermal and osmotic power have the same potential .,['RENEWABLES']
"The figures are not supported by evidence , and a typical energy input for nuclear power amounts to about 2-3 % of output , and even if this were all fossil fuel sourced , the impact is trivial .",['OTHER']
"Climate change was a key focus for the nuclear industry under the Obama administration , including treatment under U.S. EPA ' s Clean Power Plan and ongoing studies at DOE on how plant closures would affect U.S. greenhouse gas emissions .",['ENVIRONMENTAL_IMPACT']
The stuff could be spent on nuclear energy instead of renewable energy !,['RENEWABLES']
"The efficiency of the wind and solar power plants are getting higher every year and could potentially be used to relieve our need for fossil fuels , at least more than nuclear power could .","['FOSSIL_FUELS', 'RENEWABLES']"
Studies have shown that what life-cycle emissions that the plants do give off are on par with renewable energy sources such as wind power .,"['ENVIRONMENTAL_IMPACT', 'RENEWABLES']"
What about all the CO2 emissions created by the manufacturing and assembling of wind farms or solar energy installations ?,['RENEWABLES']
Former Energy Secretary Steven Chu during a keynote address at an American Bar Association forum in California last week cast nuclear power as critical to curbing greenhouse gas emissions despite challenges surrounding spent fuel .,"['ENVIRONMENTAL_IMPACT', 'WASTE']"
"Background : During the 1960 ' s and 1970 ' s nuclear energy was once touted as "" the "" best way to produce electricity .",['OTHER']
"Renewables may be used as much as possible , but intrinsic limitations ( diffuse , intermittent sources ) mean that wind and sun can never economically replace sources such as coal , gas and nuclear for large-scale , continuous , reliable supply .","['FOSSIL_FUELS', 'RENEWABLES', 'RELIABILITY']"
"Nuclear plants only produce electricity and ca n't replace oil and gas "" The case against nuclear power "" .",['FOSSIL_FUELS']
But at least a few voices within the movement insist that soaring global demand for energy makes it imperative for climate change advocates to fully embrace atomic power .,"['ENVIRONMENTAL_IMPACT', 'PUBLIC_DEBATE', 'RELIABILITY']"
"Any investment put in nuclear is investment taken away from renewable energy , the proven climate change solution .","['ENVIRONMENTAL_IMPACT', 'RENEWABLES']"
"Nuclear is a centralized power source requiring large infrastructure , investment , and coordination where decentralized sources ( including solar and wind ) can be more efficient , less costly , and more resilient .","['ENERGY_POLICY', 'RELIABILITY', 'COSTS', 'RENEWABLES']"
"Fossil fuels receive large direct and indirect subsidies , such as tax benefits and not having to pay for the greenhouse gases they emit .","['ENERGY_POLICY', 'FOSSIL_FUELS']"
"This means for every kilowatt of electricity produced , almost twice as much waste heat is generated .",['RELIABILITY']
I strongly disagree that wind and solar have a higher chance at being able to meet our needs over nuclear energy .,"['RENEWABLES', 'RELIABILITY']"
"After considering the best available technologies , we decided that a combination of wind , concentrated solar , geothermal , photovoltaics , tidal , wave and hydroelectric energy could more than meet all the planet ' s energy needs , particularly if all the world ' s vehicles could be run on electric batteries and hydrogen fuel cells .",['RENEWABLES']
Fossil fuel burning produces twenty seven thousand million tons of carbon dioxide yearly .,['FOSSIL_FUELS']
"From a facility "" footprint "" standpoint , less space is required for a nuclear electric generating facility than for a comparable-capacity wind or solar plant .","['ENVIRONMENTAL_IMPACT', 'RENEWABLES']"
Nuclear energy economies of scale are improving Pascal Zachary .,['OTHER']
"With subsidies , wind power is practically free in some markets .",['RENEWABLES']
"If external costs are accounted , nuclear is very competitive .",['COSTS']
"Nuclear power is once again considered a prominent alternative , despite the disregard it was met with in the 1970s .",['PUBLIC_DEBATE']
The industry does not pay the total costs of all research into nuclear energy .,['OTHER']
Nuclear energy is the primary alternative to dirty coal Patrick Moore .,['FOSSIL_FUELS']
"It is , and it is not only safe , clean and inexhaustible , but also a fuel that is free .","['ENVIRONMENTAL_IMPACT', 'COSTS', 'ACCIDENTS/SECURITY']"
"Hence , from an economic and environmental perspective , nuclear power makes no sense ; numerous studies from the Wall Street Journal and independent energy analysts have put the cost of nuclear power at between 12-20 cents per kilowatt-hour ( kWh ) .",['COSTS']
Nuclear power is not a solution .,['OTHER']
"There are cleaner , safer and cheaper alternatives available that can produce our electricity without using nuclear or fossil fuels .","['FOSSIL_FUELS', 'ACCIDENTS/SECURITY']"
The nuclear industry would like us to believe that nuclear power offers a much better option for generating electricity without releasing significant amounts of greenhouse gases or toxic pollution .,['ENVIRONMENTAL_IMPACT']
Centralized nuclear energy production is inefficient .,"['ENERGY_POLICY', 'RELIABILITY']"
Solar power is more renewable and cleaner .,['RENEWABLES']
"[ It ] will have a real and tangible benefits in terms of improving the odds of a better climate outcome , reducing the chance of extreme outcomes , improving our changes of limiting the warming to the lowest levels we can , he said .",['ENVIRONMENTAL_IMPACT']
How many electric vehicles could be powered by 50 or 100 more nuclear power plants ?,['OTHER']
"Other renewable power sources such as solar and hydroelectric , can not provide the large scale power generation which is needed .",['RENEWABLES']
"Mark Jacobson , a professor of civil and environmental engineering at Stanford University , is optimistic that the world can meet the 2 C target and , in fact , stabilize emissions at 350 ppm instead of the 450 ppm that the United Nations aspires to , using solely renewable energy .",['RENEWABLES']
It does not make greenhouse gases so it is a good switch over .,['ENVIRONMENTAL_IMPACT']
"Given that hydroelectric resources are built pretty much to capacity , nuclear is , by elimination , the only viable substitute for coal .","['FOSSIL_FUELS', 'RENEWABLES']"
There are sure monetary focal points in setting up nuclear power plants and utilizing nuclear energy in lieu of traditional energy .,"['FOSSIL_FUELS', 'COSTS']"
An ACTU policy against uranium mining is not enough : it does not in itself challenge any of the driving forces behind nuclear power .,['OTHER']
Small modular reactor ( SMR ) that have about a third of the output of typical nuclear reactors could be the key to making nuclear power the energy source of the future .,['TECHNOLOGICAL_INNOVATION']
"In the EU and in North America largely due to instability of fossil fuel availability , that the world may have reached peak oil , high prices and a need to increase power production while reducing greenhouse gas emissions ( 4 ) ( and also that older plants need to be updated ) , means we are once again faced with the possibility of a nuclear future .","['ENVIRONMENTAL_IMPACT', 'FOSSIL_FUELS']"
"The sober warning is that if more is not done , nuclear power will diminish as a practical and timely option for deployment at a scale that would constitute a material contribution to climate change risk mitigation .",['ENVIRONMENTAL_IMPACT']
"[ ... ] Renewable energy , on the other hand , is the cleanest , safest and most reliable form of power generation . """,['RENEWABLES']
"Without an increase in the rate of new-plant construction that surpasses that of the global construction programs of the 1970s and 1980s , nuclear power can not make a meaningful contribution to climate change risk mitigation .",['ENVIRONMENTAL_IMPACT']
Doing this we help slow down global warming .,['ENVIRONMENTAL_IMPACT']
"Hydro and liquefied gas are the greatest killers , even before coal , but do environmentalists care ?",['FOSSIL_FUELS']
Subsidies and investment could be spent on other solutions ( such as renewable energy systems ) .,['RENEWABLES']
Low Pollution : Nuclear power also has a lot fewer greenhouse emissions .,['ENVIRONMENTAL_IMPACT']
It is the only nonpolluting energy source that can provide the steady base needs of the power grid into the future .,"['ENVIRONMENTAL_IMPACT', 'RELIABILITY']"
"In contradistinction , contemporary renewables , or future developments thereof , can be deployed progressively and give a fast return on investment capital .",['RENEWABLES']
We need all the electricity sources we can get .,['OTHER']
The emissions of green house gases and therefore the contribution of nuclear power plants to global warming is therefore relatively little .,['ENVIRONMENTAL_IMPACT']
[ Counter :] It is in fact one of the least expensive energy sources .,['COSTS']
"In sum , if we invest in nuclear versus true renewables , you can bet that the glaciers and polar ice caps will keep melting while we wait , and wait , for the nuclear age to arrive .","['ENVIRONMENTAL_IMPACT', 'RENEWABLES']"
Nuclear power requires a very small area .,['ENVIRONMENTAL_IMPACT']
"If the government supports nuclear energy ( a well established and easily scalable industry ) , newer and less mature renewable energy start-ups will have difficulty growing .","['ENERGY_POLICY', 'RENEWABLES']"
"Expand [ ing ] successful innovation initiatives , like ARPA-e , and cut those that fail to deliver results . "" ]",['OTHER']
"So for us to say we wo n't use all the tools [ such as nuclear energy ] to solve the problem is crazy . """,['OTHER']
"Nuclear is much cheaper than wind or PV and for wind and solar greens always argue , yes the costs high , but we have to bear them for the sake of the environment .","['COSTS', 'RENEWABLES']"
Geothermal energy also has a much smaller footprint than nuclear ; solar only slightly more .,"['ENVIRONMENTAL_IMPACT', 'RENEWABLES']"
Nuclear energy has a smaller surface-area footprint on the land .,['ENVIRONMENTAL_IMPACT']
Even if we doubled nuclear power in the UK it would only reduce greenhouse gas emissions by 8 % .,['ENVIRONMENTAL_IMPACT']
"Like coal or oil , it was a way of producing electricity at a central location for distribution through the established grid .","['ENERGY_POLICY', 'FOSSIL_FUELS']"
Other states should consider taking similar steps to recognize the benefits of nuclear power and prevent premature plant closures .,['OTHER']
"Nuclear power already delivers less energy globally than renewable energy , and the share will continue to decrease in the coming years .",['RENEWABLES']
"If the United States is to be a major player in the world ’s energy future , we must advance our nuclear power programs as quickly as possible .",['ENERGY_POLICY']
Each additional contribution and each additional increase in ambition that countries make under the Paris framework will help improve our chances of limiting future warming .,['OTHER']
To do this we need to … make a dramatic and rapid retreat from the use of nuclear power to generate electricity .,['OTHER']
"Since most forms of renewable energy do n’t fill the bill , “ nuclear fission today represents the only present-day zero-carbon technology with the demonstrated ability to meet most , if not all , of the energy demands of a modern economy . ”","['ENVIRONMENTAL_IMPACT', 'RENEWABLES', 'RELIABILITY']"
The Bush administration gave the nuclear industry $ 18.5 billion in loan guarantees to try to encourage investment in new nuclear plants .,['ENERGY_POLICY']
All in all I would say that the future of nuclear power looks promising .,['OTHER']
"But the plan includes no economic rewards for keeping existing efficient , well-run plants in operation .",['OTHER']
His figures show that nuclear energy is the only source that can challenge the climate-changing and environment-destroying fossil fuels for supremacy in providing the world ’s energy needs .,"['ENVIRONMENTAL_IMPACT', 'RELIABILITY']"
It can produce all the electricity that is needed and all the liquid fuels that are needed or wanted and produce them cleanly and cheaply .,['COSTS']
"With the concern about climate change and the increased cost of fossil fuels , there has been an increase interest in using nuclear energy to produce electricity .","['ENVIRONMENTAL_IMPACT', 'FOSSIL_FUELS']"
The economics are just not there .,['OTHER']
"For nuclear to meet all the world ' s energy needs today -- 12.5 terawatts ( 1 terawatt = 1 trillion watts ) -- more than 17,000 nuclear plants would be needed .",['OTHER']
Opponents argue the country is n't ready for an end to nuclear power .,['OTHER']
The advantages of renewables are a given .,['RENEWABLES']
"[ W ] e can now move forward to preserve and enhance our air , aquatic , and terrestrial environments . . . to carry out the policies and goals set forth in the bill to provide each citizen of this great country a healthful environment .",['ENVIRONMENTAL_IMPACT']
Geothermal energy is also usable as a reasonably permanent renewable resource .,['RENEWABLES']
This is because it ’s now being touted as a more environmentally beneficial solution since it emits far fewer greenhouse gases during electricity generation than coal or other traditional power plants .,"['ENVIRONMENTAL_IMPACT', 'FOSSIL_FUELS']"
Nuclear energy is a practical solution to many of the problems posed by fossil fuels but of course it will not completely replace fossil fuels .,['FOSSIL_FUELS']
Energy efficiency is more important than nuclear power .,['RELIABILITY']
"There are technological innovations in the wings at the moment that will make it much quicker to build nuclear power stations , he said .",['TECHNOLOGICAL_INNOVATION']
"Construction cost overruns notwithstanding , most nuclear power plants produce electricity at competitive costs .",['COSTS']
"Yet , rising concerns regarding global warming and energy prices , however , nuclear energy has seen renewed attention as alternative form of energy .",['ENVIRONMENTAL_IMPACT']
• It leads to relative large amount of energy that produced per land area .,['RELIABILITY']
"Fossil fuels , not nuclear , are the real enemies of renewables .","['FOSSIL_FUELS', 'RENEWABLES']"
"It ’s a valuable area of research that could guarantee abundant clean energy , so it ’s worth investing in the technology , continuing to use it and not abandoning it .",['ENVIRONMENTAL_IMPACT']
"If nations meet their Paris pledges , called intended nationally determined contributions , or INDCs , and continue decarbonizing beyond 2030 at a rate of 5 percent , there is more than a 3-in-4 chance that a 4 C temperature rise could be avoided .",['OTHER']
"Certainly orders of magnitude larger than the corrupting ability of green power , in terms of dollars .",['OTHER']
"Being modular and decentralized by nature , new renewable energy can be expanded and built much more rapidly ( and operated more efficiently given the country ' s archipelagic character ) than nuclear and conventional polluting sources .","['ENVIRONMENTAL_IMPACT', 'RENEWABLES', 'COSTS']"
"As a result , the percentage of electricity from renewables has significantly increased in recent years , which is great .",['RENEWABLES']
"Economic • Net external Costs are much cheaper then other forms of production • As of 2005 Nuclear power was : – 3 / 4 the cost of coal – 1 / 5 the cost of gas • Nuclear energy is , in many places , competitive with fossil fuels for electricity generation , despite relatively high capital costs and the need to internalize all waste disposal and decommissioning costs .","['FOSSIL_FUELS', 'COSTS']"
"Scientific studies too numerous to mention show repeatedly that wind , solar , geothermal , and tidal sources of clean energy are abundant and easily accessible .",['RENEWABLES']
It does n't depend on fossil fuels and is n't affected by fluctuating oil and gas prices .,"['FOSSIL_FUELS', 'RELIABILITY']"
To the editor : Bryce wants us to build new nuclear power plants as a partial solution to global warming .,['ENVIRONMENTAL_IMPACT']
